name,price,Kategori
WHITE SHIMEJI MUSHROOM PACK 100 GR - JAMUR,18050,Sayuran
Sakake Tofu Telur 230 Gr,19800,Sayuran
JAMUR CHAMPIGNOT PACK 200 GR,21500,Sayuran
Sakake Tofu Telur 230 Gr,18250,Sayuran
KEMBANG KOL 500 GR,52470,Sayuran
SAKAKE TOFU PUTIH 230 GRAM,11990,Sayuran
TAHU YUNYIE 4 PCS PUTIH - OLAHAN KEDELAI,20100,Sayuran
SAKAKE TOFU TELUR 230 GRAM,18250,Sayuran
HOKTO MUSHROOM BROWN PACK JPN,26640,Sayuran
Tahu Kuning - Perpack isi 10 SayurKendal,15500,Sayuran
White Oyster Mushroom Pack 100 Gr,18720,Sayuran
PARE HIJAU 500-580 GR - SAYUR,19110,Sayuran
CABE HIJAU TW 250-270 GR - CABAI,16110,Sayuran
KOL PUTIH SEGAR 1200-1300 GRAM,29070,Sayuran
Kongke Tofu Telur Special 140 Gr,9620,Sayuran
KONGKE TOFU TELUR SPECIAL 140 GR,9620,Sayuran
KONGKE TAHU SUTRA 250 GRAM,13900,Sayuran
SAKAKE TOFU PUTIH 230 GR,13400,Sayuran
Kongke Tofu Rasa Udang 140 Gr,12190,Sayuran
Planto Baby Buncis Konvensional 1 pack,8700,Sayuran
Wortel Berastagi Baby Konvensional Sayurbox,25000,Sayuran
Sayurbox Kitchen Paket Masak Sop Oyong Misoa 1 pack,24900,Sayuran
Wortel Organik 1 kg Sayurbox,61800,Sayuran
Kol Putih 1200 Gr,26850,Sayuran
TheOrganicStop Kale Powder Bubuk Superfood 30 gram,38700,Sayuran
KEMBANG KOL 500-600 GR - SAYUR,28740,Sayuran
Jamur Perancis Whole Pack,20220,Sayuran
JAMUR PERANCIS SLICED PACK,19780,Sayuran
BROWN SHIMEJI MUSHROOM PACK 150 GR,18080,Sayuran
Buncis TW 250 Gr,9740,Sayuran
CABE RAWIT HIJAU 100-120 GR,5890,Sayuran
Kongke Tofu Jepun Putih 250Gr,13260,Sayuran
Tahu Kims Premium NON GMO 1 pack Sayurbox,22300,Sayuran
